dataset_name	Encoder	validation_type	sample_type	train_shape	test_shape	mean_target_before_sampling_train	mean_target_after_sampling_train	mean_target_test	num_cat_cols	train_score	val_score	test_score	time	features_before_encoding	features_after_encoding	avg_tress_number	train_prop_size
WA_Fn-UseC_-Telco-Customer-Churn	CatBoostEncoder	Single	None	281	4220	0.2526690391459075	0.2526690391459075	0.2682464454976303	17	0.9613650942833274	0.8230952380952381	0.7836475745619655	1.9254260063171387	20	20	35	0.1
WA_Fn-UseC_-Telco-Customer-Churn	CatBoostEncoder	Single	None	703	4220	0.2503556187766714	0.2503556187766714	0.2682464454976303	17	0.9453126647361312	0.7342303084755915	0.788718211611344	2.476689338684082	20	20	51	0.25
WA_Fn-UseC_-Telco-Customer-Churn	CatBoostEncoder	Single	None	1406	4220	0.26600284495021337	0.26600284495021337	0.2682464454976303	17	0.9539191700398184	0.814472411626485	0.8137548575129534	2.452721357345581	20	20	37	0.5
WA_Fn-UseC_-Telco-Customer-Churn	CatBoostEncoder	Single	None	2109	4220	0.26647700331910856	0.26647700331910856	0.2682464454976303	17	0.9209082191601835	0.782373797493965	0.7933056720188946	2.4966630935668945	20	20	29	0.75
WA_Fn-UseC_-Telco-Customer-Churn	CatBoostEncoder	Single	gan	140	4220	0.24285714285714285	0.24285714285714285	0.2682464454976303	17	0.9165536214485794	0.773639455782313	0.7551247047730643	1.7936022281646729	20	20	23	0.05
WA_Fn-UseC_-Telco-Customer-Churn	CatBoostEncoder	Single	gan	281	4220	0.2526690391459075	0.2526690391459075	0.2682464454976303	17	0.9613650942833274	0.8230952380952381	0.7836475745619655	1.8814852237701416	20	20	35	0.1
WA_Fn-UseC_-Telco-Customer-Churn	CatBoostEncoder	Single	gan	703	4220	0.2503556187766714	0.2503556187766714	0.2682464454976303	17	0.9453126647361312	0.7342303084755915	0.788718211611344	2.2010576725006104	20	20	51	0.25
WA_Fn-UseC_-Telco-Customer-Churn	CatBoostEncoder	Single	gan	1406	4220	0.26600284495021337	0.26600284495021337	0.2682464454976303	17	0.9539191700398184	0.814472411626485	0.8137548575129534	2.4127748012542725	20	20	37	0.5
WA_Fn-UseC_-Telco-Customer-Churn	CatBoostEncoder	Single	gan	2109	4220	0.26647700331910856	0.26647700331910856	0.2682464454976303	17	0.9209082191601835	0.782373797493965	0.7933056720188946	2.492668867111206	20	20	29	0.75
WA_Fn-UseC_-Telco-Customer-Churn	CatBoostEncoder	Single	sample_original	140	4220	0.24285714285714285	0.24285714285714285	0.2682464454976303	17	0.9165536214485794	0.773639455782313	0.7551247047730643	1.7856130599975586	20	20	23	0.05
WA_Fn-UseC_-Telco-Customer-Churn	CatBoostEncoder	Single	sample_original	281	4220	0.2526690391459075	0.2526690391459075	0.2682464454976303	17	0.9613650942833274	0.8230952380952381	0.7836475745619655	1.8774900436401367	20	20	35	0.1
WA_Fn-UseC_-Telco-Customer-Churn	CatBoostEncoder	Single	sample_original	703	4220	0.2503556187766714	0.2503556187766714	0.2682464454976303	17	0.9453126647361312	0.7342303084755915	0.788718211611344	2.205051898956299	20	20	51	0.25
WA_Fn-UseC_-Telco-Customer-Churn	CatBoostEncoder	Single	sample_original	1406	4220	0.26600284495021337	0.26600284495021337	0.2682464454976303	17	0.9539191700398184	0.814472411626485	0.8137548575129534	2.420764684677124	20	20	37	0.5
WA_Fn-UseC_-Telco-Customer-Churn	CatBoostEncoder	Single	sample_original	2109	4220	0.26647700331910856	0.26647700331910856	0.2682464454976303	17	0.9209082191601835	0.782373797493965	0.7933056720188946	2.5086472034454346	20	20	29	0.75
